Region,Peak Demand (in %),% of time of year
Southern Region,70.0,64.0
Western Region,77.0,64.0
National,81.0,64.0
Eastern Region,67.0,64.0
North-Eastern Region,54.0,64.0
Northen Region,59.0,64.0
Southern Region,70.0,64.0
Western Region,77.0,64.0
National,81.0,64.0
Eastern Region,67.0,64.0
North-Eastern Region,54.0,64.0
Northen Region,59.0,64.0
Southern Region,70.0,64.0
Western Region,77.0,64.0
National,81.0,64.0
Eastern Region,67.0,64.0
North-Eastern Region,54.0,64.0
Northen Region,59.0,64.0
Southern Region,70.0,64.0
Western Region,77.0,64.0
National,81.0,64.0
Eastern Region,67.0,64.0
North-Eastern Region,54.0,64.0
Northen Region,59.0,64.0
Southern Region,70.0,64.0
Western Region,77.0,64.0
National,81.0,64.0
Eastern Region,67.0,64.0
North-Eastern Region,54.0,64.0
Northen Region,59.0,64.0
Southern Region,70.0,64.0
Western Region,77.0,64.0
National,81.0,64.0
Eastern Region,67.0,64.0
North-Eastern Region,54.0,64.0
Northen Region,59.0,64.0
Southern Region,70.0,64.0
Western Region,77.0,64.0
National,81.0,64.0
Eastern Region,67.0,64.0
North-Eastern Region,54.0,64.0
Northen Region,59.0,64.0
Southern Region,70.0,64.0
Western Region,77.0,64.0
National,81.0,64.0
Eastern Region,67.0,64.0
North-Eastern Region,54.0,64.0
Northen Region,59.0,64.0
Southern Region,70.0,64.0
Western Region,77.0,64.0
National,81.0,64.0
Eastern Region,67.0,64.0
North-Eastern Region,54.0,64.0
Northen Region,59.0,64.0
Southern Region,70.0,64.0
Western Region,77.0,64.0
National,81.0,64.0
Eastern Region,67.0,64.0
North-Eastern Region,54.0,64.0
Northen Region,59.0,64.0
Southern Region,70.0,64.0
Western Region,77.0,64.0
National,81.0,64.0
Eastern Region,67.0,64.0
North-Eastern Region,54.0,64.0
Northen Region,59.0,64.0
Southern Region,70.0,64.0
Western Region,77.0,64.0
National,81.0,64.0
Eastern Region,67.0,64.0
North-Eastern Region,54.0,64.0
Northen Region,59.0,64.0
Southern Region,70.0,64.0
Western Region,77.0,64.0
National,81.0,64.0
Eastern Region,67.0,64.0
North-Eastern Region,54.0,64.0
Northen Region,59.0,64.0
Southern Region,70.0,64.0
Western Region,77.0,64.0
National,81.0,64.0
Eastern Region,67.0,64.0
North-Eastern Region,54.0,64.0
Northen Region,59.0,64.0
Southern Region,70.0,64.0
Western Region,77.0,64.0
National,81.0,64.0
Eastern Region,67.0,64.0
North-Eastern Region,54.0,64.0
Northen Region,59.0,64.0
Southern Region,70.0,64.0
Western Region,77.0,64.0
National,81.0,64.0
Eastern Region,67.0,64.0
North-Eastern Region,54.0,64.0
Northen Region,59.0,64.0
Southern Region,70.0,64.0
Western Region,77.0,64.0
National,81.0,64.0
Eastern Region,67.0,64.0
North-Eastern Region,54.0,64.0
Northen Region,59.0,64.0
Southern Region,70.0,64.0
Western Region,77.0,64.0
National,81.0,64.0
Eastern Region,67.0,64.0
North-Eastern Region,54.0,64.0
Northen Region,59.0,64.0
Southern Region,70.0,64.0
Western Region,77.0,64.0
National,81.0,64.0
Eastern Region,67.0,64.0
North-Eastern Region,54.0,64.0
Northen Region,59.0,64.0
Southern Region,70.0,64.0
Western Region,77.0,64.0
National,81.0,64.0
Eastern Region,67.0,64.0
North-Eastern Region,54.0,64.0
Northen Region,59.0,64.0
Southern Region,70.0,64.0
Western Region,77.0,64.0
National,81.0,65.0
Eastern Region,67.0,65.0
North-Eastern Region,54.0,65.0
Northen Region,59.0,65.0
Southern Region,70.0,65.0
Western Region,77.0,65.0
National,81.0,65.0
Eastern Region,67.0,65.0
North-Eastern Region,54.0,65.0
Northen Region,59.0,65.0
Southern Region,70.0,65.0
Western Region,77.0,65.0
National,81.0,65.0
Eastern Region,67.0,65.0
North-Eastern Region,54.0,65.0
Northen Region,59.0,65.0
Southern Region,70.0,65.0
Western Region,77.0,65.0
National,81.0,65.0
Eastern Region,67.0,65.0
North-Eastern Region,54.0,65.0
Northen Region,59.0,65.0
Southern Region,70.0,65.0
Western Region,77.0,65.0
National,81.0,65.0
Eastern Region,67.0,65.0
North-Eastern Region,54.0,65.0
Northen Region,59.0,65.0
Southern Region,70.0,65.0
Western Region,77.0,65.0
National,81.0,65.0
Eastern Region,67.0,65.0
North-Eastern Region,54.0,65.0
Northen Region,59.0,65.0
Southern Region,70.0,65.0
Western Region,77.0,65.0
National,81.0,65.0
Eastern Region,67.0,65.0
North-Eastern Region,54.0,65.0
Northen Region,59.0,65.0
Southern Region,70.0,65.0
Western Region,77.0,65.0
National,81.0,65.0
Eastern Region,67.0,65.0
North-Eastern Region,54.0,65.0
Northen Region,59.0,65.0
Southern Region,70.0,65.0
Western Region,77.0,65.0
National,81.0,65.0
Eastern Region,67.0,65.0
North-Eastern Region,54.0,65.0
Northen Region,59.0,65.0
Southern Region,70.0,65.0
Western Region,77.0,65.0
National,81.0,65.0
Eastern Region,67.0,65.0
North-Eastern Region,54.0,65.0
Northen Region,59.0,65.0
Southern Region,70.0,65.0
Western Region,77.0,65.0
National,81.0,65.0
Eastern Region,67.0,65.0
North-Eastern Region,54.0,65.0
Northen Region,59.0,65.0
Southern Region,70.0,65.0
Western Region,77.0,65.0
National,81.0,65.0
Eastern Region,67.0,65.0
North-Eastern Region,54.0,65.0
Northen Region,59.0,65.0
Southern Region,70.0,65.0
Western Region,77.0,65.0
National,81.0,65.0
Eastern Region,67.0,65.0
North-Eastern Region,54.0,65.0
Northen Region,59.0,65.0
Southern Region,70.0,65.0
Western Region,77.0,65.0
National,81.0,65.0
Eastern Region,67.0,65.0
North-Eastern Region,54.0,65.0
Northen Region,59.0,65.0
Southern Region,70.0,65.0
Western Region,77.0,65.0
National,81.0,65.0
Eastern Region,67.0,65.0
North-Eastern Region,54.0,65.0
Northen Region,59.0,65.0
Southern Region,70.0,65.0
Western Region,77.0,65.0
National,81.0,65.0
Eastern Region,67.0,65.0
North-Eastern Region,54.0,65.0
Northen Region,59.0,65.0
Southern Region,70.0,65.0
Western Region,77.0,65.0
National,81.0,65.0
Eastern Region,67.0,65.0
North-Eastern Region,54.0,65.0
Northen Region,59.0,65.0
Southern Region,70.0,65.0
Western Region,77.0,65.0
National,81.0,65.0
Eastern Region,67.0,65.0
North-Eastern Region,54.0,65.0
Northen Region,59.0,65.0
Southern Region,70.0,65.0
Western Region,77.0,65.0
National,81.0,65.0
Eastern Region,67.0,65.0
North-Eastern Region,54.0,65.0
Northen Region,59.0,65.0
Southern Region,70.0,65.0
Western Region,77.0,65.0
National,81.0,65.0
Eastern Region,67.0,65.0
North-Eastern Region,54.0,65.0
Northen Region,59.0,65.0
Southern Region,70.0,65.0
Western Region,77.0,65.0
National,81.0,65.0
Eastern Region,67.0,65.0
North-Eastern Region,54.0,65.0
Northen Region,59.0,65.0
Southern Region,70.0,65.0
Western Region,77.0,65.0
National,81.0,65.0
Eastern Region,67.0,65.0
North-Eastern Region,54.0,65.0
Northen Region,59.0,65.0
Southern Region,70.0,65.0
Western Region,77.0,65.0
National,81.0,65.0
Eastern Region,67.0,65.0
North-Eastern Region,54.0,65.0
Northen Region,59.0,65.0
Southern Region,70.0,65.0
Western Region,77.0,65.0
National,81.0,65.0
Eastern Region,67.0,65.0
North-Eastern Region,54.0,65.0
Northen Region,59.0,65.0
Southern Region,70.0,65.0
Western Region,77.0,65.0
National,81.0,65.0
Eastern Region,67.0,65.0
North-Eastern Region,54.0,65.0
Northen Region,59.0,65.0
Southern Region,70.0,65.0
Western Region,77.0,65.0
National,81.0,65.0
Eastern Region,67.0,65.0
North-Eastern Region,54.0,65.0
Northen Region,59.0,65.0
Southern Region,70.0,65.0
Western Region,77.0,65.0
National,81.0,65.0
Eastern Region,67.0,65.0
North-Eastern Region,54.0,65.0
Northen Region,59.0,65.0
Southern Region,70.0,65.0
Western Region,77.0,65.0
National,81.0,65.0
Eastern Region,67.0,65.0
North-Eastern Region,54.0,65.0
Northen Region,59.0,65.0
Southern Region,70.0,65.0
Western Region,77.0,65.0
National,81.0,65.0
Eastern Region,67.0,65.0
North-Eastern Region,54.0,65.0
Northen Region,59.0,65.0
Southern Region,70.0,65.0
Western Region,77.0,65.0
National,81.0,65.0
Eastern Region,67.0,65.0
North-Eastern Region,54.0,65.0
Northen Region,59.0,65.0
Southern Region,70.0,65.0
Western Region,77.0,65.0
National,81.0,65.0
Eastern Region,67.0,65.0
North-Eastern Region,54.0,65.0
Northen Region,59.0,65.0
Southern Region,70.0,65.0
Western Region,76.0,65.0
National,81.0,65.0
Eastern Region,67.0,65.0
North-Eastern Region,54.0,65.0
Northen Region,59.0,65.0
Southern Region,70.0,65.0
Western Region,76.0,65.0
National,81.0,65.0
Eastern Region,67.0,65.0
North-Eastern Region,54.0,65.0
Northen Region,59.0,65.0
Southern Region,70.0,65.0
Western Region,76.0,65.0
National,81.0,65.0
Eastern Region,67.0,65.0
North-Eastern Region,54.0,65.0
Northen Region,59.0,65.0
Southern Region,70.0,65.0
Western Region,76.0,65.0
National,81.0,65.0
Eastern Region,67.0,65.0
North-Eastern Region,54.0,65.0
Northen Region,59.0,65.0
Southern Region,70.0,65.0
Western Region,76.0,65.0
National,81.0,65.0
Eastern Region,67.0,65.0
North-Eastern Region,54.0,65.0
Northen Region,59.0,65.0
Southern Region,70.0,65.0
Western Region,76.0,65.0
National,81.0,65.0
Eastern Region,67.0,65.0
North-Eastern Region,54.0,65.0
Northen Region,59.0,65.0
Southern Region,70.0,65.0
Western Region,76.0,65.0
National,81.0,65.0
Eastern Region,67.0,65.0
North-Eastern Region,54.0,65.0
Northen Region,59.0,65.0
Southern Region,70.0,65.0
Western Region,76.0,65.0
National,81.0,65.0
Eastern Region,67.0,65.0
North-Eastern Region,54.0,65.0
Northen Region,59.0,65.0
Southern Region,70.0,65.0
Western Region,76.0,65.0
National,81.0,65.0
Eastern Region,67.0,65.0
North-Eastern Region,54.0,65.0
Northen Region,59.0,65.0
Southern Region,70.0,65.0
Western Region,76.0,65.0
National,81.0,65.0
Eastern Region,67.0,65.0
North-Eastern Region,54.0,65.0
Northen Region,59.0,65.0
Southern Region,70.0,65.0
Western Region,76.0,65.0
National,81.0,65.0
Eastern Region,67.0,65.0
North-Eastern Region,54.0,65.0
Northen Region,59.0,65.0
Southern Region,70.0,65.0
Western Region,76.0,65.0
National,81.0,65.0
Eastern Region,67.0,65.0
North-Eastern Region,54.0,65.0
Northen Region,59.0,65.0
Southern Region,70.0,65.0
Western Region,76.0,65.0
National,81.0,65.0
Eastern Region,67.0,65.0
North-Eastern Region,54.0,65.0
Northen Region,59.0,65.0
Southern Region,70.0,65.0
Western Region,76.0,65.0
National,81.0,66.0
Eastern Region,67.0,66.0
North-Eastern Region,54.0,66.0
Northen Region,59.0,66.0
Southern Region,70.0,66.0
Western Region,76.0,66.0
National,81.0,66.0
Eastern Region,67.0,66.0
North-Eastern Region,54.0,66.0
Northen Region,59.0,66.0
Southern Region,70.0,66.0
Western Region,76.0,66.0
National,81.0,66.0
Eastern Region,67.0,66.0
North-Eastern Region,54.0,66.0
Northen Region,59.0,66.0
Southern Region,70.0,66.0
Western Region,76.0,66.0
National,81.0,66.0
Eastern Region,67.0,66.0
North-Eastern Region,54.0,66.0
Northen Region,59.0,66.0
Southern Region,70.0,66.0
Western Region,76.0,66.0
National,81.0,66.0
Eastern Region,67.0,66.0
North-Eastern Region,54.0,66.0
Northen Region,59.0,66.0
Southern Region,70.0,66.0
Western Region,76.0,66.0
National,81.0,66.0
Eastern Region,67.0,66.0
North-Eastern Region,54.0,66.0
Northen Region,58.0,66.0
Southern Region,70.0,66.0
Western Region,76.0,66.0
National,81.0,66.0
Eastern Region,67.0,66.0
North-Eastern Region,54.0,66.0
Northen Region,58.0,66.0
Southern Region,70.0,66.0
Western Region,76.0,66.0
National,81.0,66.0
Eastern Region,67.0,66.0
North-Eastern Region,54.0,66.0
Northen Region,58.0,66.0
Southern Region,70.0,66.0
Western Region,76.0,66.0
National,81.0,66.0
Eastern Region,67.0,66.0
North-Eastern Region,54.0,66.0
Northen Region,58.0,66.0
Southern Region,70.0,66.0
Western Region,76.0,66.0
National,81.0,66.0
Eastern Region,67.0,66.0
North-Eastern Region,54.0,66.0
Northen Region,58.0,66.0
Southern Region,70.0,66.0
Western Region,76.0,66.0
National,81.0,66.0
Eastern Region,67.0,66.0
North-Eastern Region,54.0,66.0
Northen Region,58.0,66.0
Southern Region,70.0,66.0
Western Region,76.0,66.0
National,81.0,66.0
Eastern Region,67.0,66.0
North-Eastern Region,54.0,66.0
Northen Region,58.0,66.0
Southern Region,70.0,66.0
Western Region,76.0,66.0
National,81.0,66.0
Eastern Region,67.0,66.0
North-Eastern Region,54.0,66.0
Northen Region,58.0,66.0
Southern Region,70.0,66.0
Western Region,76.0,66.0
National,81.0,66.0
Eastern Region,67.0,66.0
North-Eastern Region,54.0,66.0
Northen Region,58.0,66.0
Southern Region,70.0,66.0
Western Region,76.0,66.0
National,81.0,66.0
Eastern Region,67.0,66.0
North-Eastern Region,54.0,66.0
Northen Region,58.0,66.0
Southern Region,70.0,66.0
Western Region,76.0,66.0
National,81.0,66.0
Eastern Region,67.0,66.0
North-Eastern Region,54.0,66.0
Northen Region,58.0,66.0
Southern Region,70.0,66.0
Western Region,76.0,66.0
National,81.0,66.0
Eastern Region,67.0,66.0
North-Eastern Region,54.0,66.0
Northen Region,58.0,66.0
Southern Region,70.0,66.0
Western Region,76.0,66.0
National,81.0,66.0
Eastern Region,67.0,66.0
North-Eastern Region,54.0,66.0
Northen Region,58.0,66.0
Southern Region,70.0,66.0
Western Region,76.0,66.0
National,81.0,66.0
Eastern Region,67.0,66.0
North-Eastern Region,54.0,66.0
Northen Region,58.0,66.0
Southern Region,70.0,66.0
Western Region,76.0,66.0
National,81.0,66.0
Eastern Region,67.0,66.0
North-Eastern Region,54.0,66.0
Northen Region,58.0,66.0
Southern Region,70.0,66.0
Western Region,76.0,66.0
National,81.0,66.0
Eastern Region,67.0,66.0
North-Eastern Region,54.0,66.0
Northen Region,58.0,66.0
Southern Region,70.0,66.0
Western Region,76.0,66.0
National,81.0,66.0
Eastern Region,67.0,66.0
North-Eastern Region,54.0,66.0
Northen Region,58.0,66.0
Southern Region,70.0,66.0
Western Region,76.0,66.0
National,81.0,66.0
Eastern Region,67.0,66.0
North-Eastern Region,54.0,66.0
Northen Region,58.0,66.0
Southern Region,70.0,66.0
Western Region,76.0,66.0
National,81.0,66.0
Eastern Region,67.0,66.0
North-Eastern Region,54.0,66.0
Northen Region,58.0,66.0
Southern Region,70.0,66.0
Western Region,76.0,66.0
National,81.0,66.0
Eastern Region,67.0,66.0
North-Eastern Region,54.0,66.0
Northen Region,58.0,66.0
Southern Region,70.0,66.0
Western Region,76.0,66.0
National,81.0,66.0
Eastern Region,67.0,66.0
North-Eastern Region,54.0,66.0
Northen Region,58.0,66.0
Southern Region,70.0,66.0
Western Region,76.0,66.0
National,80.0,66.0
Eastern Region,67.0,66.0
North-Eastern Region,54.0,66.0
Northen Region,58.0,66.0
Southern Region,70.0,66.0
Western Region,76.0,66.0
National,80.0,66.0
Eastern Region,67.0,66.0
North-Eastern Region,54.0,66.0
Northen Region,58.0,66.0
Southern Region,70.0,66.0
Western Region,76.0,66.0
National,80.0,66.0
Eastern Region,67.0,66.0
North-Eastern Region,54.0,66.0
Northen Region,58.0,66.0
Southern Region,70.0,66.0
Western Region,76.0,66.0
National,80.0,66.0
Eastern Region,66.0,66.0
North-Eastern Region,54.0,66.0
Northen Region,58.0,66.0
Southern Region,70.0,66.0
Western Region,76.0,66.0
National,80.0,66.0
Eastern Region,66.0,66.0
North-Eastern Region,54.0,66.0
Northen Region,58.0,66.0
Southern Region,70.0,66.0
Western Region,76.0,66.0
National,80.0,66.0
Eastern Region,66.0,66.0
North-Eastern Region,54.0,66.0
Northen Region,58.0,66.0
Southern Region,70.0,66.0
Western Region,76.0,66.0
National,80.0,66.0
Eastern Region,66.0,66.0
North-Eastern Region,54.0,66.0
Northen Region,58.0,66.0
Southern Region,70.0,66.0
Western Region,76.0,66.0
National,80.0,66.0
Eastern Region,66.0,66.0
North-Eastern Region,54.0,66.0
Northen Region,58.0,66.0
Southern Region,70.0,66.0
Western Region,76.0,66.0
National,80.0,66.0
Eastern Region,66.0,66.0
North-Eastern Region,54.0,66.0
Northen Region,58.0,66.0
Southern Region,70.0,66.0
Western Region,76.0,66.0
National,80.0,66.0
Eastern Region,66.0,66.0
North-Eastern Region,54.0,66.0
Northen Region,58.0,66.0
Southern Region,70.0,66.0
Western Region,76.0,66.0
National,80.0,66.0
Eastern Region,66.0,66.0
North-Eastern Region,54.0,66.0
Northen Region,58.0,66.0
Southern Region,70.0,66.0
Western Region,76.0,66.0
National,80.0,66.0
Eastern Region,66.0,66.0
North-Eastern Region,54.0,66.0
Northen Region,58.0,66.0
Southern Region,70.0,66.0
Western Region,76.0,66.0
National,80.0,66.0
Eastern Region,66.0,66.0
North-Eastern Region,54.0,66.0
Northen Region,58.0,66.0
Southern Region,70.0,66.0
Western Region,76.0,66.0
National,80.0,66.0
Eastern Region,66.0,66.0
North-Eastern Region,54.0,66.0
Northen Region,58.0,66.0
Southern Region,70.0,66.0
Western Region,76.0,66.0
National,80.0,66.0
Eastern Region,66.0,66.0
North-Eastern Region,53.0,66.0
Northen Region,58.0,66.0
Southern Region,70.0,66.0
Western Region,76.0,66.0
National,80.0,66.0
Eastern Region,66.0,66.0
North-Eastern Region,53.0,66.0
Northen Region,58.0,66.0
Southern Region,70.0,66.0
Western Region,76.0,66.0
National,80.0,66.0
Eastern Region,66.0,66.0
North-Eastern Region,53.0,66.0
Northen Region,58.0,66.0
Southern Region,70.0,66.0
Western Region,76.0,66.0
National,80.0,67.0
Eastern Region,66.0,67.0
North-Eastern Region,53.0,67.0
Northen Region,58.0,67.0
Southern Region,70.0,67.0
Western Region,76.0,67.0
National,80.0,67.0
Eastern Region,66.0,67.0
North-Eastern Region,53.0,67.0
Northen Region,58.0,67.0
Southern Region,70.0,67.0
Western Region,76.0,67.0
National,80.0,67.0
Eastern Region,66.0,67.0
North-Eastern Region,53.0,67.0
Northen Region,58.0,67.0
Southern Region,70.0,67.0
Western Region,76.0,67.0
National,80.0,67.0
Eastern Region,66.0,67.0
North-Eastern Region,53.0,67.0
Northen Region,58.0,67.0
Southern Region,70.0,67.0
Western Region,76.0,67.0
National,80.0,67.0
Eastern Region,66.0,67.0
North-Eastern Region,53.0,67.0
Northen Region,58.0,67.0
Southern Region,70.0,67.0
Western Region,76.0,67.0
National,80.0,67.0
Eastern Region,66.0,67.0
North-Eastern Region,53.0,67.0
Northen Region,58.0,67.0
Southern Region,70.0,67.0
Western Region,76.0,67.0
National,80.0,67.0
Eastern Region,66.0,67.0
North-Eastern Region,53.0,67.0
Northen Region,58.0,67.0
Southern Region,70.0,67.0
Western Region,76.0,67.0
National,80.0,67.0
Eastern Region,66.0,67.0
North-Eastern Region,53.0,67.0
Northen Region,58.0,67.0
Southern Region,70.0,67.0
Western Region,76.0,67.0
National,80.0,67.0
Eastern Region,66.0,67.0
North-Eastern Region,53.0,67.0
Northen Region,58.0,67.0
Southern Region,70.0,67.0
Western Region,76.0,67.0
National,80.0,67.0
Eastern Region,66.0,67.0
North-Eastern Region,53.0,67.0
Northen Region,58.0,67.0
Southern Region,70.0,67.0
Western Region,76.0,67.0
National,80.0,67.0
Eastern Region,66.0,67.0
North-Eastern Region,53.0,67.0
Northen Region,58.0,67.0
Southern Region,70.0,67.0
Western Region,76.0,67.0
National,80.0,67.0
Eastern Region,66.0,67.0
North-Eastern Region,53.0,67.0
Northen Region,58.0,67.0
Southern Region,70.0,67.0
Western Region,76.0,67.0
National,80.0,67.0
Eastern Region,66.0,67.0
North-Eastern Region,53.0,67.0
Northen Region,58.0,67.0
Southern Region,70.0,67.0
Western Region,76.0,67.0
National,80.0,67.0
Eastern Region,66.0,67.0
North-Eastern Region,53.0,67.0
Northen Region,58.0,67.0
Southern Region,70.0,67.0
Western Region,76.0,67.0
National,80.0,67.0
Eastern Region,66.0,67.0
North-Eastern Region,53.0,67.0
Northen Region,58.0,67.0
Southern Region,70.0,67.0
Western Region,76.0,67.0
National,80.0,67.0
Eastern Region,66.0,67.0
North-Eastern Region,53.0,67.0
Northen Region,58.0,67.0
Southern Region,70.0,67.0
Western Region,76.0,67.0
National,80.0,67.0
Eastern Region,66.0,67.0
North-Eastern Region,53.0,67.0
Northen Region,58.0,67.0
Southern Region,70.0,67.0
Western Region,76.0,67.0
National,80.0,67.0
Eastern Region,66.0,67.0
North-Eastern Region,53.0,67.0
Northen Region,58.0,67.0
Southern Region,70.0,67.0
Western Region,76.0,67.0
National,80.0,67.0
Eastern Region,66.0,67.0
North-Eastern Region,53.0,67.0
Northen Region,58.0,67.0
Southern Region,70.0,67.0
Western Region,76.0,67.0
National,80.0,67.0
Eastern Region,66.0,67.0
North-Eastern Region,53.0,67.0
Northen Region,58.0,67.0
Southern Region,70.0,67.0
Western Region,76.0,67.0
National,80.0,67.0
Eastern Region,66.0,67.0
North-Eastern Region,53.0,67.0
Northen Region,58.0,67.0
Southern Region,70.0,67.0
Western Region,76.0,67.0
National,80.0,67.0
Eastern Region,66.0,67.0
North-Eastern Region,53.0,67.0
Northen Region,58.0,67.0
Southern Region,70.0,67.0
Western Region,76.0,67.0
National,80.0,67.0
Eastern Region,66.0,67.0
North-Eastern Region,53.0,67.0
